---,Cost,KillBonus,BaseDamage,ArmourDamage,ArmourPenetration,HelmetDamage,HelmetBleed,Weight,FalloffModifier,MinFalloffDist,MaxFalloffDist
1911,160,800,25,25,10,100,50,0,0.8,2250,3000
57,360,300,20,25,100,100,75,0,0.85,2500,3000
sock,520,600,20,30,10,50,50,0,0.85,1250,2000
m9,160,400,20,30,10,50,50,0,0.85,1500,2000
de,1000,400,49,45,100,100,100,0,0.85,2500,3500
revolver,640,600,200,100,100,100,100,0,0.68,1000,3500
cet9,520,500,25,25,50,80,50,0,0.8,2250,3000
smg,960,800,25,25,10,100,50,0,0.8,2250,3000
uzi,910,600,20,20,10,50,25,0,0.85,1250,2000
ak,1080,600,20,35,60,100,50,0,0.85,2000,3000
mp5,1200,400,20,30,10,25,25,0,0.85,1500,2500
p90,1400,300,20,20,10,25,75,0,0.8,1500,2500
vanas,1600,200,20,45,60,50,75,0,0.75,1000,3500
kross,1400,100,17,20,10,25,25,0,0.8,1500,2500
ar9,2000,200,25,35,40,100,50,0,0.9,2000,3000
shotgun,1200,600,15,15,10,25,0,0,0.67,750,1500
sawedoff,910,400,40,35,35,50,25,0,0.33,250,500
drumshotgun,2240,100,15,15,10,25,10,0,0.67,500,1100
autoshotgun,1280,100,15,15,10,25,10,0,0.67,500,1000
ak47,2500,200,25,60,100,100,100,0,1,500,4000
ak12,2000,300,25,45,100,100,74,0,1,500,4000
ar,2500,300,20,50,100,100,80,0,1,500,4000
aug,1800,300,20,45,100,100,75,0,1,500,4000
galul,1800,300,20,45,100,100,75,0,1,500,4000
m16,1800,300,20,45,100,100,75,0,1,500,4000
sks,2000,100,35,60,100,100,100,0,1,500,4000
akshorty,1280,400,25,25,10,100,50,0,1,500,4000
vzz,1600,400,20,30,10,25,25,0,1,500,4000
lmga,2400,100,20,60,100,100,75,0,1,500,4000
awp,2000,0,100,80,90,100,100,0,1,500,4000
autosniper,2400,100,35,60,100,100,100,0,1,500,4000
antitank,3840,0,200,100,100,100,100,0,1,500,4000
scur,2400,100,35,60,100,100,100,0,1,500,4000
luger,480,400,25,30,10,50,75,0,1,500,4000
tokarev,240,800,20,25,10,100,50,0,1,500,4000
webley,640,600,45,35,100,100,100,0,1,500,4000
sten,1120,400,20,30,10,25,25,0,1,500,4000
mp40,1360,400,20,30,10,25,25,0,1,500,4000
thompson,1280,400,20,30,10,25,25,0,1,500,4000
stg44,2160,300,20,40,100,100,75,0,1,500,4000
ppsh,1400,100,17,20,10,25,25,0,0.8,1500,2500
m1garand,1920,400,35,60,100,100,100,0,1,500,4000
g43,2800,100,35,60,100,100,100,0,1,500,4000
svt40,2800,400,35,60,100,100,100,0,1,500,4000
mosin,1280,800,80,60,100,100,100,0,1,500,4000
springfield,1280,800,80,60,100,100,100,0,1,500,4000
kar98,1280,800,80,60,100,100,100,0,1,500,4000
leeenfield,1280,800,80,60,100,100,100,0,1,500,4000
bar,2400,100,20,60,100,100,75,0,1,500,4000
bren,2400,100,20,60,100,100,75,0,1,500,4000
dp27,2560,100,20,60,100,100,75,0,1,500,4000
mg42,2800,100,20,60,100,100,75,0,1,500,4000
rl_m1a1,3440,150,100,100,100,100,100,0,1,500,4000
rl_piat,3200,150,100,100,100,100,100,0,1,500,4000
rl_panzer,3600,150,100,100,100,100,100,0,1,500,4000
rl_rpg,3360,150,100,100,100,100,100,0,1,500,4000
smoke,188,0,0,0,0,0,0,0,1,500,4000
smoke_ru,188,0,0,0,0,0,0,0,1,500,4000
flash,160,1200,0,0,0,0,0,0,1,500,4000
flash_ru,160,1200,0,0,0,0,0,0,1,500,4000
grenade_us,400,0,0,80,90,0,0,0,1,500,4000
smoke_us,188,0,0,0,0,0,0,0,1,500,4000
grenade_ger,400,0,0,80,90,0,100,0,1,500,4000
smoke_ger,188,0,0,0,0,0,0,0,1,500,4000
grenade_svt,400,0,0,80,90,0,0,0,1,500,4000
smoke_svt,188,0,0,0,0,0,0,0,1,500,4000
grenade,400,0,0,80,90,0,0,0,1,500,4000
grenade_ru,400,0,0,80,90,0,0,0,1,500,4000
armour,520,0,50,10,0,0,75,0,1,500,4000
kevlarhelmet,800,0,50,10,0,0,75,0,1,500,4000
supp_pistol,120,-50,0,0,0,0,0,0,1,500,4000
